Job Title,Job description Link,badge,Company name,Company Profile Link,Deadline ,Location,Job Type,Salary Amount
"Executive, Marketing Services",https://skill.jobs/jobs/executive-marketing-services-u6CTwg1x,Beginner,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Mon Feb 13 2023,Dhaka,Full Time,Negotiable
"Territory Manager/ Area Manager, ACI Fertilizer 'Ratno'",https://skill.jobs/jobs/territory-manager-area-manager-aci-fertilizer-ratno-p1NnIBR3,Mid Level,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Sat Feb 18 2023,Anywhare,Full Time,Negotiable
"Sr. Executive/ Assistant Manager, Commercial",https://skill.jobs/jobs/sr-executive-assistant-manager-commercial-wSDMq4cW,Mid Level,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Thu Feb 16 2023,Tejgaon,Full Time,Negotiable
Chef,https://skill.jobs/jobs/chef-6sAAgax8,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Feb 17 2023,Dhaka,Full Time,Negotiable
House Keeping Cum Room Attendant,https://skill.jobs/jobs/house-keeping-cum-room-attendant-DR3fPYuI,Beginner,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Fri Feb 17 2023,Dhaka,Full Time,Negotiable
Junior Audit Officer,https://skill.jobs/jobs/junior-audit-officer-B4K1XKTp,Beginner,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Thu Feb 16 2023,Anywhare,Contractual,Negotiable
"Marketing Officer/ Senior Marketing Officer, ACI Animal Health",https://skill.jobs/jobs/marketing-officer-senior-marketing-officer-aci-animal-health-C5kCbEBZ,Beginner,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Sat Feb 18 2023,Anywhare,Full Time,Negotiable
Process Officer (Operation) - BCIL,https://skill.jobs/jobs/process-officer-operation-bcil-rk86WQlD,Mid Level,Bashundhara Group,https://skill.jobs/company-profile/none-r1cLx7jb,Mon Feb 20 2023,Chattogram (Mirsharai),Full Time,Negotiable
"Trainee Executive, Product Development",https://skill.jobs/jobs/trainee-executive-product-development-r4SkztmF,Beginner,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Tue Mar 14 2023,Anywhare,Full Time,Negotiable
Sales Executive (Lift),https://skill.jobs/jobs/sales-executive-lift-llGENxUo,Mid Level,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Tue Feb 28 2023,Dhaka,Full Time,Negotiable
