Job Title,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,Date Posted,Source,location,desc,Company name,Deadline ,Job Type,Salary Amount
"agm (corporate sales), rupayan group",,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Execute the sales strategy to ensure realizing Organization's Vision.  Formulate periodical targets and optimize accordingly.  Hitting monthly targets, buildâ¦",,,,
data entry operator (mohakhali branch),,,,,,,,,CareerJet,Dhaka,Job Context  Golden Harvest InfoTech Ltd (GHITL) is a multi-disciplinary outsourcing service provider established in 2000. GHIT specializes in digitizing data from handwritten docuâ¦,,,,
sr. software engineer (technical support),,,,,,,,,CareerJet,Dhaka,Job Context  We are looking for a passionate Sr. Software Engineer to join our Software Technical Support team. Should have good knowledge on relational database and software archiâ¦,,,,
executive - vat & supply chain,,,,,,,,,CareerJet,"Gazipur, Dhaka","Job Context  Polycon Limited - A renowned plastic packaging manufacturer for the food, pharmaceutical and toiletries industry is looking for smart, dynamic and driven candidates toâ¦",,,,
credit analyst (retail underwriting),,,,,,,,,CareerJet,Dhaka,"Job Context   Primary role is to assess the creditworthiness of an individual or company. Credit analysts gather different financial information from a customer, such as earnings aâ¦",,,,
executive - project,,,,,,,,,CareerJet,Dhaka,"Job Context  Square Food & Beverage Ltd. is a leading, fast growing and ISO standard company in Bangladesh. We offer a challenging work environment, diverse job opportunities, and â¦",,,,
assistant teacher & office executive (female),,,,,,,,,CareerJet,Chittagong,"Job Context   Assistant Teacher [Bangla, English, Maths, Physics, Arabic, Art,  Intern Teachers (Junior section, any subject)]  Contractual, Minimum 1 (One) year    Job Responsibilâ¦",,,,
officer - visa application center,,,,,,,,,CareerJet,Dhaka,Job Context  Looking for Full-time Officer to work in Visa Application Center   Job Responsibilities   Customer service  Check visa application documents  Provide information to Cuâ¦,,,,
junior executive/executive (technical quality & compliance),,,,,,,,,CareerJet,Dhaka,Job Context   Jakson International Limited (JIL) is the Bangladesh unit of Jakson Group. It is the authorized country distributor of Cummins Diesel & Gas Gensets. It is also the exâ¦,,,,
quality agm,,,,,,,,,CareerJet,"Savar, Dhaka",Job Responsibilities   Develop and improve existing QI systems to meet the international standards and ensure production outputs are in line with company satisfactions.  Identify qâ¦,,,,
sub assistant engineer/ assistant engineer,,,,,,,,,CareerJet,Dhaka,"Job Context  ""Dhaka Thai Limited"" the largest aluminum extrusion company in Bangladesh started in 1997 is looking for some dynamic Sub Asst. Engineer / Asst. Engineer for its Factoâ¦",,,,
gm- production (knit garments),,,,,,,,,CareerJet,"Sreepur, Dhaka",Job Responsibilities   Responsible for daily production and work to achieve daily production targets with buyer-required quality standards.  Responsible for operation and operationâ¦,,,,
executive officer (claims),,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Claim processing  Compliance, adherence to claims processes and timely payments  Issue Guarantee of Payment for customers upon verifications and provide feedâ¦",,,,
civil engineer,,,,,,,,,CareerJet,Dhaka,Job Context   The incumbent will be responsible for-  Sales Analysis and projection  Industry Analysis and Research  Brand Analysis and projection  Promotional Activities  Product â¦,,,,
exe - compliance,,,,,,,,,CareerJet,"Gazipur, Dhaka","Job Responsibilities   Have to monitor all health, safety & workplace environmental issues in the whole factory premises.  Assist to Compliance Manager to face Social Compliance, Iâ¦",,,,
commercial officer/ executive import dept & customs dept,,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Need to know about Import documentation, Bank & Customs audit work & file handling of 100% export oriented RMG (Woven) Industry & Deemed Export (Accessories)â¦",,,,
consultant (climate migration training module development),,,,,,,,,CareerJet,Dhaka,Job Responsibilities  Click here to view detail : https://bangladesh.iom.int/careers   Employment Status   Contractual   Educational Requirements   Must be experts on subject matteâ¦,,,,
"senior executive / assistant manager, training & development",,,,,,,,,CareerJet,Dhaka,"Job Context   To manage, lead and conduct Training Courses as per Training Need Assessment and other relevant Requirements. Its objective is also to ensure excellent Training Delivâ¦",,,,
manager - dyeing finishing,,,,,,,,,CareerJet,"Savar, Dhaka","Job Context  A Reputed Textile Industry is looking for experienced, dynamic and highly potential and versatile professionals for the above mentioned position.   Job Responsibilitieâ¦",,,,
store officer,,,,,,,,,CareerJet,"Pabna, Rajshahi","Job Responsibilities   Receive, distribute and maintain adequate quantities of stocks at all times.  Maintain optimal stock levels.  Inform the purchase department well in advance â¦",,,,
front desk officer & phone call executive. (female),,,,,,,,,CareerJet,Dhaka,Job Context  We are looking for a Front Desk Officer & Phone Call Commination expert who will perform properly to explain our service maintain the overall office related activitiesâ¦,,,,
manager (accounts & finance),,,,,,,,,CareerJet,Dhaka,Job Context   A well-reputed Company is looking for a candidate for the position of Manager of Accounts & Finance.  Please read the whole job Description Carefully Before applying.â¦,,,,
engineer-(health safety environment),,,,,,,,,CareerJet,"Savar, Dhaka","Job Responsibilities   Inspection and maintenance of CFDS (Standpipe, Sprinkler & Pump) as per standard.  Inspection and maintenance of CFDS as per standard.  Inspection and mainteâ¦",,,,
store in-charge,,,,,,,,,CareerJet,Dhaka,"Job Context  ""Dhaka Thai Limited"" the largest aluminum extrusion company in Bangladesh started in 1997. Over the years it has progressed as the largest single producer of aluminum â¦",,,,
airlines sales & marketing executive,,,,,,,,,CareerJet,Dhaka,Job Context  Looking for a full-time Sales & Marketing executive   Job Responsibilities   Make Sales plan  Visit travel agencies (Sub agents) on a regular basis  Provide day activiâ¦,,,,
merchandising manager (jacket),,,,,,,,,CareerJet,"Savar, Dhaka","Job Context   Garment manufacturing, Jackets  DEPZ Based factory - Dong Bang Facilities (Ltd)    Job Responsibilities   Candidates must have experience and have worked in garment dâ¦",,,,
assistant manager - enterprise risk management (erm),,,,,,,,,CareerJet,Dhaka,"Job Context   Job Role: Operational Risk Analyst, ORM Desk, Enterprise Risk Management (ERM), IDLC Finance Limited  The incumbent will be responsible to assist Group Head of Enterpâ¦",,,,
senior officer (software administrator),,,,,,,,,CareerJet,Dhaka,Job Responsibilities   Maintain and monitor all office applications  Design and implement Websites and ERP  Have sound knowledge of UI/UX  Must have professional experience on coreâ¦,,,,
technical management trainee (tmt) - engineer,,,,,,,,,CareerJet,"Gazaria, Dhaka","Job Responsibilities   Ensure proper use of PPE for teammates & self, abide safety practices & policies.  Participate in the maintenance and operational works on-call.  Competence â¦",,,,
erp - sr. executive,,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   4-5 Years' Experience in ERP in any vertical with core modules (Accounts & Finance, Sales, Purchase, Inventory, Commercial, Production, Fixed Assets etc.)  Eâ¦",,,,
executive (sales & marketing),,,,,,,,,CareerJet,Dhaka,"Job Context   Experienced in Sales & Marketing of Electrical Substation Equipment.  Familiar with switchgear market, strong knowledge on substation equipments like 3-Phase Transforâ¦",,,,
freelancers,,,,,,,,,CareerJet,Dhaka,Job Context  We are seeking talented Freelancers with different skillsets to join our team. The selected candidates will be responsible for providing high-quality services and deliâ¦,,,,
"executive/ sr. executive (hr & admin), sector- c",,,,,,,,,CareerJet,Dhaka,"Job Context  If you`re looking for a role where you can continue to make an impression, take the next step at Bashundhara Group where your contributions will always be valued. We aâ¦",,,,
executive (generator service & parts coordination),,,,,,,,,CareerJet,Dhaka,Job Context   Jakson International Limited (JIL) is the Bangladesh unit of Jakson Group. It is the authorized country distributor of Cummins Diesel & Gas Gensets. It is also the exâ¦,,,,
doctor (teknaf base),,,,,,,,,CareerJet,"Teknaf, Chittagong",Job Context   Terre des hommes Foundation (Tdh) is the leading Swiss INGO focusing on child rights. It is active in more than 30 countries with development and emergency projects. â¦,,,,
executive/ sr. executive - production (further processing),,,,,,,,,CareerJet,"Pabna, Rajshahi",Job Context  Bengal Meat (www.bengalmeat.com) is ISO 22000:2018 and ISO 9001: 2015 certified first and only international standard meat processing industries. We are looking for a â¦,,,,
senior network administrator/sr. officer,,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Offer expert advice to the organization on issues related to network engineering and administration.  Responsible for analyzing, designing, installing, confiâ¦",,,,
"executive, assistant to md",,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Maintain executive diary to ensure proper management of MD's program/ appointment schedule ensuring maximum utilization of time; remind, update and brief MD â¦",,,,
engineer - maintenance (mechanical),,,,,,,,,CareerJet,"Rupganj, Dhaka","Job Responsibilities   Check & Plan daily, weekly and monthly maintenance.  Communicate with factory head regarding daily maintenance schedule.  Maintain all type of register book,â¦",,,,
project manager,,,,,,,,,CareerJet,"Ukhia, Chittagong",Job Context   The Promotion of Market Linkages in Local Community project aims to continue to strengthen and localize fresh food supply chain through the development of a unique vaâ¦,,,,
technical director,,,,,,,,,CareerJet,"Sreepur, Dhaka",Job Context  Preference will be given to well experienced candidates.   Job Responsibilities   Plans technical innovation in production processes to reduce cost & time.  To take inâ¦,,,,
"customer services officer, yamaha",,,,,,,,,CareerJet,Dhaka,"Job Context   ACI Motors is one of the most growing subsidiaries of ACI Limited. We have Agricultural Machinery, Infrastructural Development Machinery, Automobiles (Yamaha & Foton)â¦",,,,
lab technician,,,,,,,,,CareerJet,"Kaliakair, Dhaka",Job Context  Diploma in medical technology and should have valid registration number. Should be expert on collecting blood from child and neonate patients.   Job Responsibilities  â¦,,,,
gm - quality assurance & technical,,,,,,,,,CareerJet,"Gazipur, Dhaka",Job Context  GM - Quality Assurance & Technical (Top & Bottom)   Job Responsibilities   Product Inspections and Follow-up.  Provide technical advice to factories to solve productioâ¦,,,,
"executive, assistant",,,,,,,,,CareerJet,Dhaka,Job Context   We are looking for a suitable candidate with advanced analytical & communication skills  Job Level : Mid/ Entry Level (Based on experience)    Job Responsibilities   â¦,,,,
calibration & validation engineer,,,,,,,,,CareerJet,Dhaka,Job Context  Freshers are encouraged to apply.   Job Responsibilities   Should perform Calibration & Validation activities In House Lab & On -Site.  Have to ensure the Calibration â¦,,,,
"dgm - accounts, finance & commercial",,,,,,,,,CareerJet,"Tongi, Dhaka","Job Responsibilities   Responsible for budgetary planning and control, cost management and financial feasibility analysis, internal finance, audit, and accounting as well as providâ¦",,,,
"assistant manager, planning",,,,,,,,,CareerJet,Dhaka,Role & Responsibilities:   Position Definition (Key Purpose of the Position) :   This entry-level leadership position is responsible to facilitate the execution of all planning actâ¦,,,,
"associate, people & organization",,,,,,,,,CareerJet,Dhaka,"By continuing to use and navigate this website, you are agreeing to the use of cookies.  Accept Close   Press Tab to Move to Skip to Content Link   Search by Keyword   Search by Loâ¦",,,,
"senior engineer, footwear product operations",,,,,,,,,CareerJet,Chittagong,Key Purpose of the Job:  Recommend and drive solutions through interaction with Brands and Asia functional groups.  Has deep knowledge of the entire footwear creation and manufactuâ¦,,,,
history & geography teacher,,,,,,,,,CareerJet,Dhaka,"An exciting opportunity to work within a vibrant and dynamic International School in Tashkent, Uzbekistan, which boasts both the International Baccalaureate and local educational sâ¦",,,,
education technology officer,,,,,,,,,CareerJet,"Ukhia, Chittagong","Job Context  Direct supervisory oversight for the leadership and management of the following: Training, orientation to Staffs, Teachers & oversee the activities of LCs level. This â¦",,,,
deputy manager maintenance - mechanical,,,,,,,,,CareerJet,Dhaka,Job Responsibilities   The selected candidates will lead the sewing maintenance & utility team and will be responsible to ensure proper functioning and maintenance of all Electricaâ¦,,,,
front desk executive/ student counselor (sylhet office),,,,,,,,,CareerJet,Sylhet,"Job Context   Fresh Graduates/A Level can apply  This is a great opportunity for somebody to be involved and develop different skill sets (Front Desk with Study Abroad Consultancy,â¦",,,,
architecture,,,,,,,,,CareerJet,"Faridpur, Dhaka",Job Context  Applicant must have experience of working in a design studio with implementing designs by senior Architectural consultants and shall have experience on designing largeâ¦,,,,
japanese language teacher,,,,,,,,,CareerJet,Dhaka,Job Context   Must pass at least (Level-N5) Japanese Language Proficiency Test [However (Level-N4) pass is more preferable.  Educational qualification is flexible for candidates whâ¦,,,,
sr. executive/ executive (accounts & finance),,,,,,,,,CareerJet,Dhaka,Job Context  A Reputed Construction Company of the Country is looking for a young energetic Accounts Officer.   Job Responsibilities   Knowledge in basic accounting standard.  Prepâ¦,,,,
jr executive / executive - graphics designer,,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Design graphics for print and digital materials, including brochures, flyers, posters, and social media content.  Conceptualize visuals based on requirementsâ¦",,,,
marketing officer / digital marketing officer,,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   Handle incoming calls from clients and channeling incoming phone calls.  Receive & deliver letters, draft and reply the customers/ guests.  Receive guests/clâ¦",,,,
nutrition supervisor (nutritionist),,,,,,,,,CareerJet,"Ukhia, Chittagong",Job Context   Society for Health Extension and Development (SHED) a National NGO working in Cox`s Bazar district is inviting applications from suitable candidates for its Programmeâ¦,,,,
savoury chef,,,,,,,,,CareerJet,Dhaka,"Job Context   As a Savoury Sous Chef, you are responsible for operating the pastry section of the kitchen while working closely with the Executive Chef. A Savoury Chef will also beâ¦",,,,
senior manager/ manager - administration (factory),,,,,,,,,CareerJet,"Sreepur, Dhaka","Job Responsibilities   Monitor, Supervise & Control overall HR, Admin & Compliance.  Lead the factory HR & Admin team in delivering standard HR & Admin services within the frame woâ¦",,,,
sustainability chief,,,,,,,,,CareerJet,"Savar, Dhaka","Job Context  The core objective of this position will be to implement the procedures of the Environmental Management System, codes, standards, programs and corporate and customer iâ¦",,,,
senior support engineer (noc),,,,,,,,,CareerJet,Dhaka,Job Responsibilities   Working in NOC environment.  Team based work.  Customer Relationship & Customer support and service ensure.    Employment Status   Full-time   Educational Reâ¦,,,,
manager - trade & marketing (feed raw materials),,,,,,,,,CareerJet,Dhaka,Job Responsibilities   Do the needful evaluation & research for the demand of raw materials used in Feed Products.  Visit & meet the Feed Product manufacturer as frequent as possibâ¦,,,,
pastry chef,,,,,,,,,CareerJet,Dhaka,"Job Context   As a Pastry Chef, you are responsible for operating the pastry section of the kitchen while working closely with the Executive Chef. A Pastry Chef will also be requirâ¦",,,,
sr. officer - compliance & ems,,,,,,,,,CareerJet,"Gazipur, Dhaka","Job Context  To Lead, coordinate and support all activities of system audits; Prepare and maintain Audit documentation. To coordinate and support factory heads to improve day to daâ¦",,,,
junior engineer (integrations),,,,,,,,,CareerJet,Dhaka,Job Context   The Junior Engineer will report to Engineering Team Lead  Our Integrations team plays a vital role in ensuring that new operators are integrated onto Ding`s platform.â¦,,,,
"dgm, quality",,,,,,,,,CareerJet,"Savar, Dhaka",Job Context   We are hiring a dynamic candidate who have sound knowledge and practical experience on Woven and Denim products Quality related all responsibility.  At least experienâ¦,,,,
clinical physiotherapist,,,,,,,,,CareerJet,"Gazipur, Dhaka","Job Responsibilities   Ensure compliance to the termed Vision and Mission statements, goals, objectives, and values of the Company.  To carry out professional Physiotherapist dutieâ¦",,,,
project engineer/ site engineer,,,,,,,,,CareerJet,Dhaka,Job Context   We are looking for an innovative Project Engineer/ Site Engineer who will work as a Project Engineer or Site Engineer to develop and construct a huge range of projectâ¦,,,,
tier 1 support team member,,,,,,,,,CareerJet,Dhaka,Job Context  Our developers work for leading service-oriented companies in Europe and the USA. We have various technical teams & we practice Agile on a daily basis. We practice intâ¦,,,,
color lab technician,,,,,,,,,CareerJet,"Cox's Bazar, Chittagong",Job Responsibilities   Complete all photographic orders and submit to printer.  Print color or black and white photos as required.  Ensure to read instructions mentioned on orders â¦,,,,
guest relationship officer,,,,,,,,,CareerJet,"Cox's Bazar, Chittagong","Job Responsibilities   Welcoming guests in a friendly and professional way.  Addressing and escalating customer complaints  Providing information about facilities, programs and othâ¦",,,,
"coo-sales & marketing, automobile",,,,,,,,,CareerJet,Dhaka,"Job Context  We are one of the leading automobile businesses in Bangladesh, looking for a passionate, self-motivated, and highly skilled COO, who will have to directly report to thâ¦",,,,
designer,,,,,,,,,CareerJet,"Sirajdikhan, Dhaka","Job Context  Job Location : Kuchiaymora Baza, Sirajdikhan, Munshiganj, Dhaka   Job Responsibilities   Oversee all design projects, from conception to delivery.  Design original pieâ¦",,,,
software quality assurance engineer,,,,,,,,,CareerJet,Dhaka,"Company Description   :  Shikkha.xyz is an e-learning platform that provides a variety of courses on a wide array of topics. It engages our platform's interactive learning system, â¦",,,,
mobile developer - flutter,,,,,,,,,CareerJet,Dhaka,"Company Description   :  Shikkha.xyz is an e-learning platform that provides a variety of courses on a wide array of topics. It engages our platform's interactive learning system, â¦",,,,
frontend developer - react,,,,,,,,,CareerJet,Dhaka,"Company Description   :  Shikkha.xyz is an e-learning platform that provides a variety of courses on a wide array of topics. It engages our platform's interactive learning system, â¦",,,,
territory senior executive,,,,,,,,,CareerJet,Bangladesh,Job Responsibilities   Achieve company sales target with proper planning and execution.  Work with energetic marketing team and follow the instruction of head of Marketing and Saleâ¦,,,,
trainee (brac nursery enterprise),,,,,,,,,CareerJet,Dhaka,Job Context   Training Duration: 6 (Six Month)  Job location: BRAC Nursery (Anywhere in Bangladesh)    Job Responsibilities   Ensure production as per budget by maintaining qualityâ¦,,,,
assistant manager - scm (store),,,,,,,,,CareerJet,"Narayanganj, Dhaka",Job Responsibilities   To Prepare for indent with following ROL & Receive materials according to the indent with purchase order  To coordinate with operation & procurement team to â¦,,,,
assistant manager/ manager-ie (industrial engineering),,,,,,,,,CareerJet,"Narayanganj, Dhaka","Job Responsibilities   Ensure all sewing lines, sections, units are running as per plan efficiency.  Ensure Efficiency & Productivity improvement and visualization by using differeâ¦",,,,
assistant general manager - ie (industrial engineering),,,,,,,,,CareerJet,"Narayanganj, Dhaka","Job Responsibilities   Design layout of equipment, materials, and workspace to point up maximum efficiency using IE method/tools.  Set up every day's standard input ratio & create â¦",,,,
java developer,,,,,,,,,CareerJet,Dhaka,Company Description   Flyte Solutions Limited is a client Oriented Custom software development company that Provide Strategic Solutions for Building ROI Driven Software Developmentâ¦,,,,
python developer,,,,,,,,,CareerJet,Dhaka,"Company Description   Flyte Solutions Limited is client Oriented Custom software development company that Provide Strategic Solutions for Building ROI Driven Software, Web & Mobileâ¦",,,,
full stack developer,,,,,,,,,CareerJet,Bangladesh,"Hi,   Greetings from Starkflow!!   We are hiring for a Fullstack Developer for our direct client for a Full Time/Permanent role opportunity.   Title: Fullstack Developer (Java + Anâ¦",,,,
product associate,,,,,,,,,CareerJet,Dhaka,Nuport is looking for a Product Associate to join our team in our Dhaka office. The Product Associate develops a deep understanding of Nuport's product suite and is able to improveâ¦,,,,
assistant registrar (admin),,,,,,,,,CareerJet,"Uttara, Dhaka","Job Responsibilities   To oversee the administrative operations of the university inclusive of managing budgets, maintaining records, and coordinating with other departments.  To mâ¦",,,,
personal assistant(pa) to ceo,,,,,,,,,CareerJet,Sylhet,Job Responsibilities   Handle CEO's official work  Travel with CEO in various private and government offices  Help CEO in his personal tasks    Employment Status   Full-time   Workâ¦,,,,
counselor,,,,,,,,,CareerJet,"Sreepur, Dhaka",Job Context  We working for destitute women and children at Sreepur; Gazipur district is inviting applications from the qualified candidates for the position of Counsellor for its â¦,,,,
"executive- hr, administration & logistics",,,,,,,,,CareerJet,"Sreepur, Dhaka","Job Context  Executive- HR, Administration & Logistics - The Position is responsible for a wide variety of activities dealing with the HR/Administrative function of an office. The â¦",,,,
system analyst,,,,,,,,,CareerJet,"Uttara, Dhaka","Job Responsibilities   Should be capable of analyzing existing computer systems, software applications, and other technical solutions to identify areas that require improvement or â¦",,,,
"manager - digital development (bims, app)",,,,,,,,,CareerJet,"Gazipur, Dhaka","Job Context  Manager - (BIMS, Andriod APP) will be responsible for Maintaining & Implementing MIS Software, Digital App by providing all kinds of Technical and physical support.   â¦",,,,
accounts officer/ assistant chief accounts officer,,,,,,,,,CareerJet,"Uttara, Dhaka",Job Responsibilities   To prepare and monitor the university's annual budget and ensuring that expenditures are within the approved budget.  To prepare financial statements and repâ¦,,,,
à¦à¦®à§à¦ªà¦¿à¦à¦à¦¾à¦° à¦à¦ªà¦¾à¦°à§à¦à¦° à¦à¦¾à¦® à¦à§à¦°à¦¾à¦«à¦¿à¦à§à¦¸ à¦¡à¦¿à¦à¦¾à¦à¦¨à¦¾à¦°,,,,,,,,,CareerJet,Barisal,"Skills Required: Adobe Photoshop/ Illustrator, Adobe Premiere Pro, Canva, Good communication skills, MS Word/ Excel/ PowerPoint/ OneNote, video editing    Additional Requirements  â¦",,,,
engineer,,,,,,,,,CareerJet,"Mohammadpur, Dhaka",Job Responsibilities   Monitoring Project and supervise the workers and technicians.  To communicate with client and company management.  To prepare Bill of quantity and materials â¦,,,,
executive - admin,,,,,,,,,CareerJet,Dhaka,"Job Context   Duty time- 10.30 AM - 8.00 PM  Work Location : Bashundhara City Shopping Mall, Dhaka, Bangladesh.    Job Responsibilities   Manage office responsibilities and Adminisâ¦",,,,
senior coordinator/ coordinator - care & education,,,,,,,,,CareerJet,"Sreepur, Dhaka",Job Context  We are working for destitute women and children and inviting applications from the qualified candidates for the position of Coordinator/Senior Coordinator - Care & Eduâ¦,,,,
"sr. executive/ asst. manager- recruitment, knit garments",,,,,,,,,CareerJet,Dhaka,"Job Context  Candidate Should have very good command over Microsoft Excel (Functions, Pivot table, Vlookup, etc.) & able to join immediately   Job Responsibilities   Talent huntingâ¦",,,,
librarian,,,,,,,,,CareerJet,"Mohammadpur, Dhaka","Job Context  Full time Librarian   Job Responsibilities   Review, develop and update school library policies and procedure  Catalogue and classify books and other library resourcesâ¦",,,,
"sr. executive/ executive, communications",,,,,,,,,CareerJet,"Paltan, Dhaka","Job Context  We are looking for an enthusiastic, detail-oriented person to fill an open full-time Marketing Executives/HR Assistant/Interns. Prior experience in business developmenâ¦",,,,
receptionist (female),,,,,,,,,CareerJet,Dhaka,"Job Responsibilities   To serve visitors by greeting, welcoming, directing and announcing them appropriately.  To ensure reception area is tidy and organized in perfect manner.  Toâ¦",,,,
"director, saadiq, cpbb",,,,,,,,,CareerJet,Dhaka,"Role Responsibilities   Strategy   Design country Islamic Retail and WM business strategy, aligned to Group and country objectives, and ensure its in-country implementation  Explorâ¦",,,,
"general manager, business banking",,,,,,,,,CareerJet,Dhaka,"RESPONSIBILITIES  Financial Performance  Responsible for P&L of all offerings to BB Segment.  Devise local strategies to capture the opportunities, mitigate the threats and deliverâ¦",,,,
team leader -food & beverage services,,,,,,,,,CareerJet,Dhaka,"Job Number 23039839  Job Category Food and Beverage & Culinary  Location Sheraton Dhaka, 44 Kemal Ataturk Avenue, Banani, Dhaka, Bangladesh, Bangladesh  Schedule Full-Time  Locatedâ¦",,,,
junior sous chef,,,,,,,,,CareerJet,Dhaka,"Job Number 23039845  Job Category Food and Beverage & Culinary  Location Sheraton Dhaka, 44 Kemal Ataturk Avenue, Banani, Dhaka, Bangladesh, Bangladesh  Schedule Full-Time  Locatedâ¦",,,,
finance & administration lead,,,,,,,,,CareerJet,"Cox's Bazar, Chittagong","Purpose of the Role   The IRC is seeking a Finance and Administration (F&A) Leadfor the five-year, $50 million USAID-funded Host & Impacted Community Response Activity (HICRA). Thiâ¦",,,,
it support executive,,,,,,,,,CareerJet,"Mohammadpur, Dhaka","Job Context  If you have an investigative mindset and love to play with IT assets & SYS, then BZM Graphics can be a playground for you. Right, we are looking for an IT Support Execâ¦",,,,
management trainee officer (night shift),,,,,,,,,CareerJet,"Uttara, Dhaka",Job Context   SK IT CENTRE is the very first outsourcing firm in Bangladesh which works with real-estate open market as well as property management companies mostly in USA. We alwaâ¦,,,,
"monitoring, evaluation, accountability and learning (meal) officer",,,,,,,,,CareerJet,Bangladesh,"Job Context   WDDF is a non-profit, voluntary organization registered with the Joint Stock Company (Registration no. S 72/16(405)/07), Date: 11 November 2007) and NGOAB (Registratiâ¦",,,,
technician [digital printing],,,,,,,,,CareerJet,Bangladesh,"Job Context  Bangladesh Hardland Ceramics Co. Ltd., has an opening for the position in Digital Printing and which will be responsible to oversee and develop and meet production tarâ¦",,,,
senior officer - legal affairs,,,,,,,,,CareerJet,Bangladesh,Job Context  Senior Officer - Legal Affairs primarily responsible for all types of legal documents related work.   Job Responsibilities   Maintain all business legal documents.  Alâ¦,,,,
trainee executive,,,,,,,,,CareerJet,Bangladesh,Job Responsibilities  The Bank is looking for young and dynamic candidates to enroll in the Entry Level Training Scheme of the Bank for a period of 18 months for on the job Traininâ¦,,,,
assistant supervisor,,,,,,,,,CareerJet,"Gazipur, Dhaka",Job Context   Location: Factory/ Depot/ Distribution point of clients mainly in Gazipur and Narayanganj  Housing: Arrangement has to be made by the employee himself near the job loâ¦,,,,
technician [kiln],,,,,,,,,CareerJet,Bangladesh,"Job Context  Bangladesh Hardland Ceramics Co. Ltd., has an opening for the position in Kiln and which will be responsible to oversee and develop and meet production targets as per â¦",,,,
general manager - human resource,,,,,,,,,CareerJet,Bangladesh,"Job Context  GM-HR must be experienced in handling sales team (both retail & wholesale).   Job Responsibilities   - Should be responsible for organization's vision, mission, valuesâ¦",,,,
senior officer - procurement,,,,,,,,,CareerJet,Bangladesh,Job Context  The Senior Officer - Procurement will be responsible to support procurement activities of the company.   Job Responsibilities   Planning for procurement in collaboratiâ¦,,,,
salesman / sales supervisor,,,,,,,,,CareerJet,Bangladesh,"Job Context   You would work independently to develop and maintain a customer base within your sales territory, identifying customer needs and providing solutions that meet their râ¦",,,,
commercial officer - export (jute & jute products),,,,,,,,,CareerJet,Bangladesh,Job Context  We are looking for a professional & qualified Commercial Officer - Export (Jute and Jute Products) who should be expert in handling commercial matters of jute industryâ¦,,,,
accounts coordinator,,,,,,,,,CareerJet,Bangladesh,"Job Context   WDDF is a non-profit, voluntary organization registered with the Joint Stock Company (Registration no. S 72/16(405)/07), Date: 11 November 2007) and NGOAB (Registratiâ¦",,,,
technician [press],,,,,,,,,CareerJet,Bangladesh,"Job Context  Bangladesh Hardland Ceramics Co. Ltd., has an opening for the position in Press and which will be responsible to oversee and develop and meet production targets as perâ¦",,,,
"asst. manager, compliance",,,,,,,,,CareerJet,Bangladesh,Job Responsibilities   Implement and manage an effective legal compliance program.  Develop and review company policies.  Advise management on the company's compliance with laws anâ¦,,,,
"manager, business development",,,,,,,,,CareerJet,Bangladesh,"Job Context   BCTL- (Bridge Computer Technologies Ltd). specialized in Survey, GIS and Remote Sensing and a complete Geospatial based ICT business organization invites applicationsâ¦",,,,
technician [technical],,,,,,,,,CareerJet,Bangladesh,"Job Context  Bangladesh Hardland Ceramics Co. Ltd., has an opening for the position of Technician in Technical who will be responsible to oversee and develop and meet technical tarâ¦",,,,
area sales manager/ regional sales manager,,,,,,,,,CareerJet,Bangladesh,"Job Context   As a Regional Sales Manager, you would be responsible for overseeing and managing the sales operations within a specific region. Your primary goal would be to developâ¦",,,,
sr. mobile app developers / tl (android/ios),,,,,,,,,CareerJet,Bangladesh,"Job Context  BiznextIT is a 100% Japan based software company that works with highly qualified employees. Only finest, honest and qualified candidates are welcome to join.   Job Reâ¦",,,,
technician [glaze line],,,,,,,,,CareerJet,Bangladesh,"Job Context  Bangladesh Hardland Ceramics Co. Ltd., has an opening for the position in Glaze Line and which will be responsible to oversee and develop and meet production targets aâ¦",,,,
asst. manager- e-commerce,,,,,,,,,CareerJet,Bangladesh,"Job Context   The E-commerce Manager is responsible for managing the online sales channels of a company, including website design and development, online marketing, customer servicâ¦",,,,
tailor,,,,,,,,,CareerJet,"Jatrabari, Dhaka",Job Context   Some tailors will be hired for an online based e-commerce company.  Candidate must be in Jatrabari Area    Job Responsibilities   *Refurbishing old or worn garments bâ¦,,,,
territory sales manager,,,,,,,,,CareerJet,Bangladesh,Job Context  TSM need to aggressively capture the market of commodity products in the designated Territory. Manage channel partners/distributors and lead the sales reps team there.â¦,,,,
executive /senior executive (sales & marketing),,,,,,,,,CareerJet,Chittagong,Job Responsibilities   Proven working experience as a Real Estate Sales Person or Real Estate Agent.  Proven track of successful sales record in Plot sales.  Find the prospective Câ¦,,,,
sr. manager- store and inventory,,,,,,,,,CareerJet,"Bhaluka, Mymensingh","Job Responsibilities   Lead the team for effective management of store operation in receiving, inspection, storage, issuance & transfer of items as per company policy.  To follow-uâ¦",,,,
