Job Title,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,Date Posted,Source,location,desc,Company name,Deadline ,Job Type,Salary Amount
ict teacher (class 5-7),https://jobs.bdjobs.com/jobdetails.asp?id=1132625&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in ICT,2023,,,BD Jobs,,,,,,
"science teacher, class 5-7",https://jobs.bdjobs.com/jobdetails.asp?id=1132622&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in Science,2023,,,BD Jobs,,,,,,
"bangla teacher, class 5- 7",https://jobs.bdjobs.com/jobdetails.asp?id=1132619&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,At least 5 year(s),Bachelor degree (Masters preferred) in Bangla,2023,,,BD Jobs,,,,,,
"maths teacher, class 5-7",https://jobs.bdjobs.com/jobdetails.asp?id=1132614&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,2 to 3 year(s),Bachelor degree (Masters preferred) in Mathematics,2023,,,BD Jobs,,,,,,
english teacher (class 1 to 4),https://jobs.bdjobs.com/jobdetails.asp?id=1132611&fcatId=-1&ln=1,Sir John Wilson School,Dhaka,At least 2 year(s),Bachelors/ Masters in English,2023,,,BD Jobs,,,,,,
accounts officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132628&fcatId=-1&ln=1,Monpura Group.,Dhaka,At least 2 year(s),BBA & MBA in Accounting / Finance,2023,,,BD Jobs,,,,,,
graphics designer,https://jobs.bdjobs.com/jobdetails.asp?id=1132626&fcatId=-1&ln=1,Monpura Group.,Dhaka,At least 2 year(s),Diploma or BSC in CSE,2023,,,BD Jobs,,,,,,
"field assistant, printing & dyeing, hcmp",https://jobs.bdjobs.com/jobdetails.asp?id=1132631&fcatId=-1&ln=1,Brac.,Ukhia,At least 2 year(s),HSC,2023,,,BD Jobs,,,,,,
manager - finance & accounts,https://jobs.bdjobs.com/jobdetails.asp?id=1132618&fcatId=-1&ln=1,"Kung Keng Textile (Bd) Co., Ltd. (A Sister Concern Of Labib Group)",Savar,8 to 12 year(s),Master of Business Administration (MBA) in Accounts Finance,2023,,,BD Jobs,,,,,,
farm in-charge (dairy),https://jobs.bdjobs.com/jobdetails.asp?id=1132621&fcatId=-1&ln=1,Keya Agro Process Ltd.,Gazipur,2 to 5 year(s),Bachelor of Science (BSc) in Dairy,2023,,,BD Jobs,,,,,,
accountant and administrative officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132507&fcatId=-1&ln=1,A Renowned Fintech Solution Company,Dhaka,At least 1 year(s),BBA/ MBA/Bachelors Degree,2023,,,BD Jobs,,,,,,
product officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132610&fcatId=-1&ln=1,Servier Bangladesh Operation,Anywhere in Bangladesh,1 to 2 year(s),The ideal candidate should have a bachelor degree in Pharmacy/Medicine.,2023,,,BD Jobs,,,,,,
????? ?????? (?????/?????),https://jobs.bdjobs.com/jobdetails.asp?id=1132608&fcatId=-1&ln=2,Dsg Ltd,?????????? ?????? ??????,Na,???????,2023,,,BD Jobs,,,,,,
"senior architect, oriental real estate ltd.",https://jobs.bdjobs.com/jobdetails.asp?id=1132607&fcatId=-1&ln=1,Oriental Group,Dhanmondi,At least 7 year(s),Bachelor of Architecture (B. Arch) from reputed private or public Universities.,2023,,,BD Jobs,,,,,,
jr. executive (marker man) - cad,https://jobs.bdjobs.com/jobdetails.asp?id=1132612&fcatId=-1&ln=1,Pacific Jeans Limited,Chattogram,3 to 5 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
lecturer (biology),https://jobs.bdjobs.com/jobdetails.asp?id=1132600&fcatId=-1&ln=1,Moulovi Abdul Hye Memorial School & College (Gopalgonj),"Gopalganj, Muksudpur",2 to 5 year(s),Bachelor of Science (BSc) in Zoology,2023,,,BD Jobs,,,,,,
cad engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1132576&fcatId=-1&ln=1,Hyupsung Eng Bd Co.Ltd,Dhaka,3 to 5 year(s),Bachelor of Science (BSc) in EEE,2023,,,BD Jobs,,,,,,
field operation executive,https://jobs.bdjobs.com/jobdetails.asp?id=1132596&fcatId=-1&ln=1,Innovative Creation Ltd,Dhaka,At least 2 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
software engineer (.net),https://jobs.bdjobs.com/jobdetails.asp?id=1132604&fcatId=-1&ln=1,Servicengine Ltd.,Dhaka,1 to 3 year(s),Bachelor of Science (BSc) in CSE,2023,,,BD Jobs,,,,,,
artcam cnc designer,https://jobs.bdjobs.com/jobdetails.asp?id=1132146&fcatId=-1&ln=2,Rangpursteel,????? ???,At least 2 year(s),??? ?? ?? ????,2023,,,BD Jobs,,,,,,
civil engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1132474&fcatId=-1&ln=2,Rangpursteel,????? ???,At least 2 year(s),Diploma in Civil Engineering from any reputed institution.,2023,,,BD Jobs,,,,,,
graphic designer,https://jobs.bdjobs.com/jobdetails.asp?id=1132601&fcatId=-1&ln=1,Asia Excel Trading Limited,Anywhere in Bangladesh,1 to 2 year(s),Bachelor of Arts (BA) / Bachelor of Fine Arts (B.F.A) / Bachelor of Computer Application (BCA) / ...,2023,,,BD Jobs,,,,,,
credit officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132599&fcatId=-1&ln=2,Social And Economic Enhancement Programme,"????, ???????, ?????????, ??????????, ???????????, ???????",Na,??????/?????? ??? ???? ?? ?????????? ??????? ? ????? ?????????? ???????/????? ?,2023,,,BD Jobs,,,,,,
junior credit officer,https://jobs.bdjobs.com/jobdetails.asp?id=1132597&fcatId=-1&ln=2,Social And Economic Enhancement Programme,"????, ???????, ?????????, ??????????, ???????????, ???????",Na,??????? ???? ????? ??? ?,2023,,,BD Jobs,,,,,,
sr. executive/assistant manager-internal audit,https://jobs.bdjobs.com/jobdetails.asp?id=1132594&fcatId=-1&ln=1,Trust Infinity Firms Bangladesh,Anywhere in Bangladesh,3 to 5 year(s),Master`s degree in any discipline.,2023,,,BD Jobs,,,,,,
analyst - sales & marketing,https://jobs.bdjobs.com/jobdetails.asp?id=1132591&fcatId=-1&ln=1,Rupayan City Uttara,Uttara,At least 8 year(s),MBA in Marketing / Finance,2023,,,BD Jobs,,,,,,
receptionist,https://jobs.bdjobs.com/jobdetails.asp?id=1132589&fcatId=-1&ln=1,Great Field Sports And Fashion Services Bd Ltd.,Uttara,1 to 3 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
executive (female),https://jobs.bdjobs.com/jobdetails.asp?id=1132579&fcatId=-1&ln=1,M/S Al-Fayzan Enterprise,Dhaka,2 to 5 year(s),BBA and/or MBA in Accounting/ Management.,2023,,,BD Jobs,,,,,,
"executive, sales & marketing",https://jobs.bdjobs.com/jobdetails.asp?id=1132585&fcatId=-1&ln=1,M/S Al-Fayzan Enterprise,Dhaka,3 to 5 year(s),BSc in Chemistry or MBA in Marketing from any Govt. /reputed academic institution.,2023,,,BD Jobs,,,,,,
executive / incharge - security,https://jobs.bdjobs.com/jobdetails.asp?id=1132582&fcatId=-1&ln=1,Bitopi Group,"Cumilla, Manikganj",5 to 10 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
